"","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"drypst",-1.07025536950795,-0.0326034029875161,0.00820851889688729,-0.0198341428023633,-0.0827972629385549,0.33406628431075,0.0719286331027734
"entesc",-0.182562048420611,-0.0923981796487992,0.0439040603385898,-0.0198341428023633,-0.0827972629385549,0.209785308534143,0.399529905563046
"ery1co",-1.03844463409336,-0.0665209536124199,0.0316903854789939,-0.0198341428023633,-0.0827972629385549,-0.248915495367888,0.330935344047498
"ery2ma",-0.840537549512724,-0.0787674767272614,0.0501301408801676,-0.0198341428023633,-0.0827972629385549,0.0174240766624306,0.336627647134198
"ery2pa",-1.11176019389049,-0.0499885965728083,0.0464970802026474,-0.0198341428023633,-0.0827972629385549,0.0914858858211212,0.0950537925749649
"eugeco",-0.759704503951208,-0.0690244692814139,0.0344996554876583,-0.0198341428023633,-0.0827972629385549,0.513292922374527,0.127780273207044
"eugega",-0.826397594486587,-0.137854865028255,0.0578779720293279,-0.0198341428023633,-0.0827972629385549,0.235597268987301,0.26370578484912
"eugene",-1.17974964541194,-0.0440542275008192,0.022366407215278,-0.0198341428023633,-0.0827972629385549,0.331557388031881,0.15850704878982
"eugeoe",-0.752384976845386,-0.0417065346221569,0.0813903000992345,-0.0198341428023633,-0.0827972629385549,0.331712669415725,0.199754587658626
"faraoc",-0.671014485432322,-0.0747559698945114,-0.0126423245961671,-0.0198341428023633,-0.0827972629385549,0.171023572277254,0.108995578476341
"ficuin",-0.361512722000942,-0.068966133883709,0.0296423079315242,-0.0198341428023633,-0.0827972629385549,0.126362879937504,0.462512686002133
"ficuto",-0.851411677598353,-0.0594440341199668,0.0350366207307858,-0.0198341428023633,-0.0827972629385549,0.105687727628389,0.268800497211255
"gar2in",-0.747402632891446,-0.0556846693934673,0.0733615652145596,-0.0198341428023633,-0.0827972629385549,0.369963035548404,0.0726242336778305
"gar2ma",-0.560495094125743,-0.0937996937235245,0.063841564576961,-0.0198341428023633,-0.0827972629385549,0.216909039168219,0.190596075342716
"geniam",-0.860410885891635,-0.0473537946376508,0.024685044462372,-0.0198341428023633,-0.0827972629385549,-0.0312690765492506,0.46834592005642
"guapst",-0.43019431580556,-0.0942217895240827,0.0580535068488731,-0.0198341428023633,-0.0827972629385549,0.112100227525979,0.227168481134195
"guargr",-0.676775279881963,-0.0585327814234753,0.0456251156338578,-0.0198341428023633,-0.0827972629385549,0.172284391646476,0.352392463237273
"guargu",-0.860882726332718,-0.124512365698539,0.031715095769411,-0.0198341428023633,-0.0827972629385549,-0.0286457182001748,0.431761003746014
"guarsp",-1.33855200509616,-0.0268055224739846,0.00955044326645244,-0.0198341428023633,-0.0827972629385549,-0.182923786039901,0.392305609436334
"guatdu",-0.548348088486361,-0.0859238771130801,0.042119494213626,-0.0198341428023633,-0.0827972629385549,-0.0271684728171025,0.47526760932436
"guazul",-0.0142749570142896,-0.0843406543082323,0.0325338732150328,-0.0198341428023633,-0.0827972629385549,-0.0896784301088509,0.629697246941097
"guetfo",-1.07138513252477,-0.0116414367207838,0.0136998437344203,-0.0198341428023633,-0.0827972629385549,-0.194054301789979,0.329443465787905
"gustsu",-0.914122346183823,-0.0299409749456981,0.0608157998257641,-0.0198341428023633,-0.0827972629385549,-0.25603614928412,0.377945329175086
"hameax",-0.885782542211197,-0.0564941233225599,0.0442833078193414,-0.0198341428023633,-0.0827972629385549,0.207964682833783,0.237493693591397
"hampap",0.579333310606133,-0.112278177268296,0.0550399820344979,-0.0198341428023633,-0.0827972629385549,0.396253861419435,0.548710293163754
"hassfl",-0.684594572877288,-0.0746352748335906,0.0297327811368081,-0.0198341428023633,-0.0827972629385549,0.00556309693315285,0.312756422748494
"heisac",-0.567041987582379,-0.0546000043585148,0.0382082966731497,-0.0198341428023633,-0.0827972629385549,0.107609815870856,0.197581480060791
"heisco",-0.367195414795155,-0.0756705338627213,0.0634442807318133,-0.0198341428023633,-0.0827972629385549,0.146806768169519,0.175007228267866
"herrpu",-1.03104364071387,-0.104711682891518,0.0432723793298559,-0.0198341428023633,-0.0827972629385549,-0.370498727955235,0.20984541634961
"hirtam",-0.689730473910094,-0.0580203343176299,0.0331673344129733,-0.0198341428023633,-0.0827972629385549,0.0510289094439034,0.402031829903306
"hirttr",-0.754281011777616,-0.0523809532412909,0.0245061982798824,-0.0198341428023633,-0.0827972629385549,0.185032966519501,0.260039031443148
"huracr",-0.533581654541544,-0.0605286939423925,0.0352862257265998,-0.0198341428023633,-0.0827972629385549,0.124450627301214,0.479135345545068
"hybapr",-1.18317276478444,-0.0369739017628418,0.0570255953311906,-0.0198341428023633,-0.0827972629385549,-0.0210794223416591,0.132199490227241
"hyeral",-0.477546730011557,-0.0489405815150577,0.019499633941497,-0.0198341428023633,-0.0827972629385549,0.0447723569784935,0.571903209391243
"ingaco",-0.304965906230302,-0.079353838227059,0.0474251791281874,-0.0198341428023633,-0.0827972629385549,0.349028872127319,0.370335914841788
"ingafa",-0.831724847380232,-0.0803906490029835,0.0414443215254416,-0.0198341428023633,-0.0827972629385549,0.232036464670026,0.28267065785015
"ingago",-0.329677917867087,-0.101493172984527,0.0346140237234452,-0.0198341428023633,-0.0827972629385549,0.215572565083194,0.329644273988436
"ingama",0.114589935673671,-0.108841444573462,0.0526833034454498,-0.0198341428023633,-0.0827972629385549,0.463690949245122,0.404251158364758
"ingape",-0.400827667669696,-0.0735331778011922,0.0495213039100445,-0.0198341428023633,-0.0827972629385549,0.363293007681726,0.40706890473927
"ingapu",-0.0419923022719458,-0.0889831769969303,0.0386222962627726,-0.0198341428023633,-0.0827972629385549,0.160457793300023,0.550127092611159
"ingaqu",-0.749386350068159,-0.059058678964373,0.0354449388814921,-0.0198341428023633,-0.0827972629385549,-0.0307577859099078,0.371232516350371
"ingas1",0.17783013255364,-0.108743837733277,0.0434741193816934,-0.0198341428023633,-0.0827972629385549,0.182898629586108,0.475540044321791
"ingasa",-0.380640949971983,-0.0563786958604588,0.0341278618697184,-0.0198341428023633,-0.0827972629385549,0.0700977496498552,0.493329206818853
"ingasp",-0.169199612474117,-0.086195937456637,0.0380405305988186,-0.0198341428023633,-0.0827972629385549,0.0936535606480572,0.473892960451533
"ingath",0.166653814667703,-0.0937494988716883,0.0402547807473708,-0.0198341428023633,-0.0827972629385549,0.216091814763754,0.571031025525461
"ingaum",-0.737509590073697,-0.0837158353626896,0.0076829622192502,-0.0198341428023633,-0.0827972629385549,0.0346834949573605,0.304241318870305
"jac1co",0.220157798105121,-0.0911378862293342,0.0277771157451802,-0.0198341428023633,-0.0827972629385549,0.0703469431055848,0.664239562370229
"laciag",-0.849033308115699,-0.0745262354030968,0.0870043226845715,-0.0198341428023633,-0.0827972629385549,0.32006816320096,0.123545143768223
"lacmpa",-0.662339818049994,-0.0577082358390048,0.0355008491973913,-0.0198341428023633,-0.0827972629385549,0.264480666603317,0.296197959335369
"laetpr",-0.185118829938278,-0.0793934100408215,0.0412713998395228,-0.0198341428023633,-0.0827972629385549,0.225028834491163,0.465768013090707
"laetth",-0.644268783674862,-0.0560348403997051,0.0520494908121074,-0.0198341428023633,-0.0827972629385549,0.123081724207127,0.327828972521447
"licahy",-1.06861964240032,-0.0504482241435036,0.0428199948831487,-0.0198341428023633,-0.0827972629385549,0.149751478127178,0.257111317051768
"licapl",-0.950267382636632,-0.049313063851293,0.041944496917123,-0.0198341428023633,-0.0827972629385549,0.0574780374287241,0.213896955100721
"lindla",-1.02617948692773,-0.0472545755405848,0.0373897718365605,-0.0198341428023633,-0.0827972629385549,-0.0425824944267252,0.24555767429172
"loncla",-0.690595676427891,-0.0614086363412092,0.0300967297518692,-0.0198341428023633,-0.0827972629385549,-0.0720385154133492,0.529821020978063
"luehse",-0.84832441799102,-0.0386798920304752,0.0299512853312081,-0.0198341428023633,-0.0827972629385549,-0.142756579861612,0.521434631826935
"macrgl",-0.892185165078732,-0.0621935641654601,0.0234730678093477,-0.0198341428023633,-0.0827972629385549,0.28916465127517,0.109650011115701
"malmsp",-1.10939627711745,-0.0998546145008278,0.0443551483378859,-0.0198341428023633,-0.0827972629385549,-0.104208752541797,0.0487166547782608
"malpro",-1.11927683822397,-0.0507270815827916,0.0326311091947617,-0.0198341428023633,-0.0827972629385549,0.13474642800244,0.222805583333861
"maquco",-0.731821224824271,-0.0899885269674647,0.0418138687049785,-0.0198341428023633,-0.0827972629385549,-0.204138172932335,0.421267962121533
"maytsc",-0.76615057531804,-0.0592264387992551,0.0455540493574981,-0.0198341428023633,-0.0827972629385549,0.239425931675439,0.285355150908744
"micoaf",-0.00933783804218136,-0.0669924125486567,0.0354771050451663,-0.0198341428023633,-0.0827972629385549,0.368270716204623,0.428113841819783
"micoar",0.123628088768442,-0.0877615426210867,0.0394807354635502,-0.0198341428023633,-0.0827972629385549,0.176616396796354,0.597081966553911
"micoho",0.0170055664662332,-0.0911881820191955,0.0405374834612931,-0.0198341428023633,-0.0827972629385549,0.139721168152074,0.521528613968506
"micone",-0.286189200295997,-0.0843201748023977,0.0537855800285122,-0.0198341428023633,-0.0827972629385549,0.337850461305079,0.263969732265798
"mourmy",-0.99793407016945,-0.0471994158728945,0.0685897042737031,-0.0198341428023633,-0.0827972629385549,0.161126987343494,0.0961073855199092
