"","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"virose",-0.740293209311511,-0.0502055504566897,0.0354916431510204,-0.0198341428023633,-0.0827972629385549,0.0702824633045007,0.505310149503094
"virosp",-0.0750283474956104,-0.0869906469608841,0.0448121824848102,-0.0198341428023633,-0.0827972629385549,0.329008707285067,0.418375706773959
"virosu",-0.214215092835276,-0.0838966589156846,0.0316073875952462,-0.0198341428023633,-0.0827972629385549,0.159222778854177,0.536758736528591
"vismba",-0.0496055820592326,-0.0921629258411117,0.0368010774577093,-0.0198341428023633,-0.0827972629385549,0.0779181712161627,0.527139059315742
"vochfe",-0.133894449045429,-0.0918600591419,0.0476166622901088,-0.0198341428023633,-0.0827972629385549,0.294013241092649,0.422946608268732
"xyl1ma",-0.156818422544881,-0.117966936331044,0.0544382687279395,-0.0198341428023633,-0.0827972629385549,0.205383481452764,0.170727865125923
"xyl2ol",-1.50007273735282,-0.0329703272966678,0.0291310287562665,-0.0198341428023633,-0.0827972629385549,-0.167584700320735,0.222301127226642
"zantbe",-0.111465683563977,-0.0739035869325259,0.0340400098475112,-0.0198341428023633,-0.0827972629385549,0.137602134591077,0.636294435250274
"zantp1",-0.191185533457562,-0.06793558855545,0.0354519620120346,-0.0198341428023633,-0.0827972629385549,-0.0260591378564303,0.683776355169166
"zantpr",-0.693015562944629,-0.0553676600548732,0.0271300608468084,-0.0198341428023633,-0.0827972629385549,0.0673392641456277,0.509795816265915
"zuelgu",-1.0512005430248,-0.0508717741719049,0.0407305010102291,-0.0198341428023633,-0.0827972629385549,0.088020477251821,0.222413348196925
