"x","y","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
635,5,2.1992823869452,691.060264456938,434.500419759612,116.15306355021,6.1545350431123,2185.45799848506
645,5,2.19912736408642,691.115302394483,417.902944100498,117.321812569747,6.16230776273926,2201.34938200817
655,5,2.20508767660759,690.126525165661,403.015432986636,117.397116966175,6.170609478945,2220.89418550615
665,5,2.20288137187379,688.63972259724,392.095089720247,116.891794905427,6.18022460607794,2243.06883590809
675,5,2.18897255160166,686.629098434361,382.622995486742,116.306634809695,6.1916925126266,2272.84484929499
685,5,2.16879672941954,682.702336173642,377.243277159426,115.758517869051,6.2049873633811,2308.3412523485
695,5,2.16664392964656,676.901817604783,381.164496086076,115.021762941385,6.21946088105654,2350.4396501448
705,5,2.17836528293374,668.820849086794,390.121451110771,113.806569713097,6.23405652066296,2399.18905535317
715,5,2.19285124216069,658.172022475703,384.778247815235,111.997826993402,6.24762567635408,2451.24333661831
725,5,2.20693572393422,646.615446452271,366.812885767779,109.794970074482,6.25922527838101,2503.31970650972
735,5,2.21186259297515,635.611852945114,354.677749911649,107.660380593689,6.2683424452518,2553.32455430686
745,5,2.21391189717785,626.219580486317,346.05086571547,106.162493225831,6.27494000399977,2601.3769790827
755,5,2.2479931938305,618.22088865726,332.854776075786,105.799345411775,6.2792495261081,2654.72065417062
765,5,2.3300504036845,612.485416263841,315.052807301245,106.717596655621,6.2814664145427,2712.40936580248
775,5,2.44402684176813,608.207054063748,300.229833522486,108.553655610381,6.28162678020894,2771.19119886821
785,5,2.53318307568534,606.641478348783,288.577288096111,110.514582752544,6.27974145209319,2825.72132766794
795,5,2.49679804015003,610.761740564963,283.194477606304,111.839865841186,6.27599818393376,2865.74677227566
805,5,2.42700946885503,616.62973286017,281.072514737923,112.432791117751,6.27082220260007,2900.02193458952
815,5,2.36072482147371,622.852025229703,285.071088428934,112.984386709419,6.26474433482368,2934.98972712376
825,5,2.30172889679262,628.673253812369,296.860987169816,114.723574990014,6.25818310938517,2966.81193032243
835,5,2.25447948710612,634.271263521841,309.206444308247,118.737018888177,6.25129719895712,2981.70766963334
845,5,2.20649305216012,641.120588510441,321.183719441953,124.890295215483,6.24398457352928,2982.84139045397
855,5,2.15226875519312,649.590067886798,335.337014099034,131.735124551841,6.23598334168693,2978.95717533106
865,5,2.09687611367919,659.880033841857,348.914781855846,137.470961366003,6.22698194499739,2972.63056747757
875,5,2.05065149139325,671.579725930033,348.11204841908,140.867724569066,6.21670837854679,2969.937731022
885,5,2.01924064374077,683.891880735845,338.553511934311,141.922867507026,6.20506608354371,2972.50710562977
