"sp","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"cappfr",-1.69754499352994,-0.0157317375909167,0.0351491589374351,-0.019833641839986,-0.0827950526329399,-0.0547407388955497,0.079602671048518
"caseac",-1.13416914613554,-0.0703505366211467,0.03218976618807,-0.019833641839986,-0.0827950526329399,-0.0367527345507555,0.142834944565296
"casear",-0.366023460026624,-0.0645894449847896,0.026414873598662,-0.019833641839986,-0.0827950526329399,-0.0849265052114124,0.601558557827317
"caseco",-0.939870076089909,-0.0602874486495474,0.0351005001727524,-0.019833641839986,-0.0827950526329399,0.00762297809764483,0.287109212689079
"casesy",-0.479042665571619,-0.0619269594627505,0.0169049799285607,-0.019833641839986,-0.0827950526329399,0.0263018910945914,0.48951385443967
"cassel",-0.659334436635076,-0.110085522119771,0.0721905612145526,-0.019833641839986,-0.0827950526329399,0.55027864976134,0.155271114822848
"cavapl",-0.41561885285771,-0.0756332765302956,0.0494103125441436,-0.019833641839986,-0.0827950526329399,0.328317403594414,0.3030467908033
"cecrin",0.521592481453823,-0.105134685601643,0.0221866116164506,-0.019833641839986,-0.0827950526329399,-0.225572221213553,0.814485502916942
"cecrob",0.253551009745758,-0.101365816407295,0.0422639605659972,-0.019833641839986,-0.0827950526329399,0.283017665532167,0.522775652443858
"ceibpe",-0.460624197914379,-0.0741686218548099,0.044699537363331,-0.019833641839986,-0.0827950526329399,0.26282863797638,0.290725880364821
"celtsc",-0.0737867545295963,-0.0786146851262468,0.0447563929875197,-0.019833641839986,-0.0827950526329399,0.187497854688917,0.38814646366331
"cestme",-0.23946148821566,-0.0832941522103756,0.0460648411865161,-0.019833641839986,-0.0827950526329399,0.136350809993438,0.400059702832992
"cha2sc",-0.583543899212279,-0.0994670673782719,0.0780841911937336,-0.019833641839986,-0.0827950526329399,0.459565766509091,-0.101700493866835
"chr1ec",-1.20859094950759,-0.0407815058405626,0.0452979312362015,-0.019833641839986,-0.0827950526329399,-0.112716176166959,0.228717421460697
"chr2ar",-0.94120414430214,-0.0550529314739707,-0.0110462396156218,-0.019833641839986,-0.0827950526329399,-0.00917477204597951,0.435393799509062
"chr2ca",-1.00361021462351,-0.0477328857143349,-0.000311145500562188,-0.019833641839986,-0.0827950526329399,0.196078640114798,0.34036177328576
"coccco",-1.22964542183745,-0.0430687560709777,0.060090464204681,-0.019833641839986,-0.0827950526329399,-0.060451399441839,0.142100267411382
