"gx","gy","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
509,170,3.43,660.2,209.1,74.8,5.96,1783.7
509,210,3.38,750.4,163.5,144.8,6.18,1437.5
504,250,3.56,1357.8,187.9,77.3,5.39,964.5
509,290,2.2,890.1,158.1,97.2,5.26,581.8
509,330,2.92,823,349.6,49.9,6.38,3197.3
509,370,2.22,915,232.5,96.1,5.46,786.9
509,410,2,853.8,325.3,64.9,5.32,724.7
509,450,1.41,931.7,262.1,37.4,5.21,497.8
510,491,2.17,832.1,56,38.7,5.46,665.7
529,30,1.43,441.9,148.5,158.1,6.06,1856.2
529,70,1.99,521.6,327.2,117.5,6.58,3287.8
529,110,3.54,656.2,339.1,61.8,6.33,3074.2
529,150,2.69,503.8,151.2,49.6,6.2,1702.6
529,190,2.77,623.9,138.5,109.7,6.11,1454.4
529,230,5.2,822.9,58.4,70.2,5.36,1375.4
529,270,2.49,1028.1,158,49.5,5.2,611.1
529,310,3.04,770.5,281.8,168.4,6.33,2097.6
529,350,1.92,890.4,160.8,50.9,5.48,516.1
529,390,3.3,1427.2,302.3,83.3,5.02,814.6
529,430,2.95,1020.3,452,221.4,5.97,1444.4
529,470,1.95,530.8,90,56.8,5.72,1121.2
549,10,2.67,717.1,460.4,104.8,6.01,2326.5
549,50,1.99,849.9,446.3,84.9,5.69,1481.7
549,90,2.48,982.8,354.3,72.2,5.92,1618.9
549,130,2.77,1136.9,468.3,113.5,5.41,931.1
549,170,3.3,941.9,223,38.8,5.37,824.2
549,210,2.12,908.7,267.7,129.7,6.11,1278.1
549,250,2.8,1270.8,345.9,65.9,5.67,1451.3
549,290,3.39,533.8,374.2,138.6,6.19,2278.2
549,330,2.75,667.5,427.7,123.9,6.35,2144.8
549,370,2,1059.9,233.7,103.4,5.62,931.1
549,410,2.75,1095.6,242,88.3,5.51,868.3
544,450,1.5,1087.8,168,99,5.06,544.5
549,490,1.66,689.6,150.1,67.2,5.33,756.9
569,30,3.03,444.6,215,88.3,6.08,1702.8
569,70,4.7,894.8,335,72.7,5.44,1352.8
569,110,2.74,882.2,254.6,300.2,6.15,1161.2
569,150,5.84,160.3,180.4,111.8,7.62,5558.4
569,190,2.77,748.6,195.1,37.9,5.65,986.4
569,230,2.78,551.9,194.2,114.4,6.14,2063.9
569,270,4.1,614.1,181.7,105.1,6.35,1568.2
569,310,8.12,904.6,243.8,149.4,5.37,887.5
569,350,3.48,536.2,204.8,97.6,6.1,1624.3
564,390,2.24,1243.1,428.8,64.1,5.19,842.9
569,430,2.77,1060,322,106.6,5.29,713.6
569,470,1.93,949.9,250.5,83.8,5.93,1212.4
589,10,2.43,750.8,512,94.5,5.95,2021.8
589,50,1.19,706.9,388.9,222.2,6.02,1974.5
589,90,2,878.8,246.2,219.8,6.24,2283.3
589,130,4.06,1037.1,431,115.8,5.73,2039.7
589,170,5.67,952.1,211,79.4,5.98,1434.4
589,210,5.86,1025.5,150.7,40.3,4.88,526.1
589,250,4.79,1200.1,406.4,183,5.74,1242.6
589,290,3.18,626.9,282.5,76.7,6.27,1700.9
589,330,3.19,1080.1,339.2,89.4,5.43,1000.5
589,370,3.6,749.2,220.2,250,5.74,1113.1
589,410,3.27,633.3,303.8,94.1,6.36,1676.1
589,450,2.09,793.9,231,151.4,6.01,1057.4
590,491,3.36,643.9,144.7,109.2,6.07,2167.2
609,30,2.22,534.5,237.1,74.6,6.06,1849.3
609,70,2.38,629.8,337.9,138.5,6.35,2045
609,110,2.64,874.6,333.8,158.5,6.14,1695.8
609,150,6.19,943.2,126.2,65.5,5.7,962.2
609,190,2.11,661.3,278.6,115.3,6.16,1535.9
609,230,4.24,757.9,160.6,110.5,5.86,1389.2
609,270,2.78,837.4,205.8,79.9,5.58,936.2
609,310,2.91,636.3,225.4,73.4,5.73,1503.4
609,350,2.74,842.2,204.7,47.9,5.27,425.2
609,390,2.22,975.7,478.3,76.8,6.16,2093.5
609,430,2.38,951.2,313.8,61.8,5.64,995.6
609,470,2.33,647.2,164,94.5,6.03,1262.8
629,10,3.11,747.5,557.2,129.2,5.97,2285.8
629,50,2.25,552.1,516.9,138.8,6.4,2968.9
629,90,3.07,648.6,453.8,190.4,6.74,2784.6
629,130,2.84,1013.3,496.6,178.2,6.33,2326.3
629,170,4.11,510.7,115.5,68.5,6.28,772.4
629,210,5.21,797.2,305.4,92.3,6.17,3005.4
629,250,5.89,851.5,300.7,152.7,6,1672.7
629,290,2.82,678.2,209.1,54.6,5.94,1578.2
630,329,4.35,686.1,532.8,137.3,6.23,2684
629,370,2.69,1086.7,250,43.8,5.65,907.2
629,410,3.75,716.7,292,56.1,6.39,2162.8
629,450,1.79,788.2,266.7,56.4,5.74,1148.5
629,490,2.75,836.8,155.4,79.7,5.46,1033.5
644,30,2.07,549.2,290.5,166.1,6.25,1960.2
649,70,2.27,797.7,317.5,60,5.91,1665.1
649,110,6.73,169,143.9,84.5,7.26,5509.5
649,150,4.59,927.8,165,76.9,5.88,1243.2
649,190,7.18,727.7,151.4,110.5,6.17,1779.6
649,230,9.12,984.9,160.3,91.7,5.93,1421.5
649,270,8.79,1029,248.3,58.2,4.97,893.3
649,310,3.81,741.4,360,60.8,6.07,2770.4
649,350,4.69,731.4,295.7,150.5,6.29,2294.4
649,390,3.75,985.2,404.5,66.5,6.23,2032.8
649,430,4.07,1051.4,443.4,73.9,5.53,1176.1
649,470,2.03,557.7,137.1,44.7,5.86,1144.6
669,10,2.4,769.9,355,110.6,5.77,1575.6
669,50,3.07,929.1,490.6,122.9,5.89,1788.1
669,90,1.85,1028.9,170.8,178,5.91,1173.5
669,130,3.35,945.4,389.9,68.9,5.85,2165.6
669,170,5.71,1408.5,83.4,102.5,5.68,821
669,210,2.91,917.4,304,40.8,5.72,1220.4
669,250,3.16,1318.2,482.8,75.6,5.41,1114.3
669,290,6.31,896.6,227.7,77.2,5.37,766.4
669,330,13.66,1371.2,231.1,100.1,4.56,101.1
669,370,8.53,684.4,254,132,5.87,1659.8
669,410,4.24,1325.7,169.1,52.4,4.85,185.8
669,450,2.91,785.1,195.6,52.6,5.24,610.8
669,490,2.16,611.5,129,54.1,6.08,1692.9
689,30,1.42,471.5,191,126.5,6.38,1628.7
689,70,2.58,987.2,247.1,78.7,5.6,944.9
689,110,3.15,646.2,188.6,55.5,5.94,1601.2
689,150,3.54,595.2,131.7,98.9,6.38,1283.3
689,190,7.89,447.7,156.1,98.7,7,4269.1
689,230,2.57,740,272.9,70.2,5.93,1280.9
689,270,4.89,1038.4,221.8,76.1,5.16,604.7
689,310,4.37,449.5,166.2,93.7,5.83,1865.7
689,350,6.48,710.9,204.9,63.2,6.1,1499.8
689,390,6.04,1000.3,270.9,86.2,6.13,2168.1
689,430,4.54,1020.9,344.3,70.4,5.22,1383
